"Please choose one of the following payment methods.","Si prega di scegliere uno dei seguenti metodi di pagamento."
"If you choose to simply continue, default method will be", "Se si sceglie di continuare semplicemente, metodo di default sarà"
"Bank Transfer","Bank Transfer"
"CashU","CashU"
"Ukash","Ukash"
"Paysafecard","Paysafecard"
"Bank Transfer description","Il bonifico bancario Le offre la possibilità di pagare localmente dal Suo conto bancario. Riceverà un numero di riferimento e il numero del conto bancario per poter effettuare il pagamento."
"CashU description","CashU is the most widely used prepaid and electronic wallet in the Middle East and North Africa (excluding credit cards).You could simply use Cashu prepaid cards directly or you can open a CashU account and then reload your account. If you do not have a CashU account click <a href=""https://www.cashu.com/CLogin/registersForm?lang=en"" target=""_blank"">here</a> to register."
"Ukash description","Ukash voucher is a prepaid voucher you can use to pay - there are no extra fees. So, if you want to pay using Ukash voucher you simply visit your <a href=""http://www.ukash.com/global/en/where-to-get/global.aspx"" target=""_blank"">nearest store</a>. To pay you simply type in the 19 digit voucher code and the voucher value."
"Paysafecard description","Paysafecard voucher is a prepaid voucher you can use to pay- there are no extra fees. So, if you want to purchase using Paysafecard voucher you simply visit your <a href=""http://www.paysafecard.com/uk/buy/"" target=""_blank"">nearest store</a>. Then you simply type in the 16 digit voucher code and that's it - the payment is done."
"Thank you, the transaction has been processed successfuly. After we receive the final confirmation, we will release the goods.","Grazie, la transazione è stata elaborata con successo. Dopo aver ricevuto la conferma definitiva, si rendono disponibili i beni."
"There was a problem processing your payment. Please try again.","C'è stato un problema durante l'elaborazione del vostro pagamento. Riprova."
"You have canceled the payment.","Hai annullato il pagamento."
"Thank you, the transaction is pending. After we receive the final confirmation, we will release the goods.","Grazie, la transazione è attesa. Dopo aver ricevuto la conferma definitiva, si rendono disponibili i beni."